candidate_id,competitor,price_observed,scope,source
A1,Decathlon / ABUS Bordo,"59,99 €","PDP ; modèle précis, pas toute la gamme ABUS",A1-decathlon
A1,Vélotafeur / Coolride,"34,93 €","Carte Shopping, pliant compact",shopping
A1,Amazon vendeur / pliable 85 cm,"18,99 €","Carte Shopping, qualité et certification non vérifiées",shopping
A1,Kryptonite Evolution 790,"74,61 €",Carte Shopping Amazon ; marque établie,shopping
A2,TimeLens,79 €,"PDP du compact ; les 19,75 € sont une mensualité, pas le prix",A2-timelens
A2,Darty / Movinclick 8MP,"49,99 €","Carte Shopping, numérique rétro",shopping
A2,Camp Snap,"54,90 €",Carte Shopping MN Photo Vidéo,shopping
A2,Paper Shoot,"199,95–249,95 €","Catalogue de marque ; univers et produit différents, pas une ancre pour un générique",A2-papershoot-fr
A5,Xteink X3,69 USD,"PDP française affichée en USD, livraison FR non simulée",A5-xteink
A5,Xteink X3,"60,95 €",Carte Shopping fabricant ; prix final checkout non confirmé,shopping
A5,Vivlio Light Zen,"109,99 €","Carte Shopping, format différent",shopping
A5,Kobo / gamme liseuses,"dès 119,99 €",Catalogue ; pas une preuve de disposition à payer pour X3,A5-ereader-kobo-com
A6,SOURCE EXCLUE : domaine copie signalé par Hakim,EXCLU — mauvais domaine,Ne pas attribuer au site officiel ; voir approfondissement du 04/09 et ses captures lelamier.com.,A6-lamier
A6,Le Bouc Français / coffret noir,"99,72 €","PDP, kit six pièces dont savon ; seuil de livraison incohérent entre en-tête et pied",A6-bouc
A6,Bambaw / rasoir seul,"20,98 €",Carte Shopping ; ce n’est pas un kit à 99 €,shopping
A6,Merkur 34C,"44,95 €",Carte Shopping Les Ciseaux ; marque spécialiste,shopping
B1,Foxydry Hide,"79,70 € affichés",PDP configurable ; largeur/quantité à revérifier avant comparaison définitive,B1-foxydry
B1,VOUNOT mural pliable,"39,99 €",Carte Shopping Amazon vendeur,shopping
B1,KROMS Wit 100 cm,"59,95 €",Carte Shopping avec gabarit de perçage,shopping
B1,Univers Étendoir / bras 6–10 trous,"39,99 €","PDP de porte-cintres, pas étendoir à barres ; 149,99/174,99 € sont des recommandations d’autres produits",B1-univers
B2,SPRINTIS pivot 180°,"14,88 € TTC affichés",Page B2B ; vérifier TVA/destination et fret au checkout,B2-sprintis-fr
B2,Decathlon / vertical pivotant,"29,90 €",Carte Shopping,shopping
B2,Amazon / pivotant,"16,89 €",Carte Shopping,shopping
B2,OnVelo / Steadyrack classique,"67,49 €",PDP en rupture ; pas une offre immédiatement disponible,B2-onvelo
B2,CyclMania / clip roue,15 € unité / 27 € duo,Mécanisme PP/PET différent ; ne prouve pas un pivot premium,B2-cyclmania
B3,Gifi magnétique 110×130,"9,95 €","PDP, dimensions déterminées",B3-gifi-fr
B3,Moustikit magnétique fixe,"19,90 €",PDP consultée,B3-moustikit-com
B3,Avosdim kit,"21,51 €",PDP ; dimensions/variante à comparer,B3-avosdim-com
B3,MYCARBON lot 2 150×180,"9,98 €","Carte Shopping ; ruban adhésif, pas même cadre",shopping
C2,CGV Prelude 3,"69,99 €",Carte Shopping E.Leclerc,shopping
C2,CGV Prelude 3 fabricant,"89,99 € TTC","PDP : optique/jack, câbles fournis, garantie 2 ans neuf, livraison annoncée 48/72 h",C2-cgv-prelude
C2,Meliconi HP Digital Smart,"49,95 €",Carte Shopping Electro Dépôt : jack/Toslink,shopping
C2,Kaorka TV sans fil,"39,95 €",Carte Shopping Electro Dépôt,shopping
C2,Avantree HT5009,"109,99 USD","PDP en USD ; connectique/passthrough, prix rendu France non établi",C2-avantree
C2,CGV Prelude 3 Duo,98 €,"Carte Shopping E.Leclerc ; deux casques, segment conditionnel",shopping
C6,Titanox,"59,99–69,99 €","Repère PDP du test précédent du 03/09 ; capture actuelle confirme la page, pas un prix sélectionné",C6-titanox
C6,Casanaö / TitaneX 22 cm,"69,90 €",Carte Shopping ; composition non certifiée par la carte,shopping
C6,Amazon / titane annoncé 26–30 cm,"39,99 €","Carte Shopping, matière annoncée seulement",shopping
C6,Laguiole triplex induction,"199,99 €","Carte Shopping ; construction différente, pas prix générique acquis",shopping
