produit,product_id,sku_id,prix_gbp,port_gbp,total_gbp,stock_declare,delai_estime,lien,limites
Abaya ouverte noire,1005008650101896,12000046096249126,29.39,0,29.39,100,6–13 jours,https://www.aliexpress.com/item/1005008650101896.html?skuId=12000046096249126,"Source principale ; cardigan seul, robe intérieure et foulard non confirmés"
Abaya alternative noire,1005009404700712,12000048996914221,15.29,12.63,27.92,299,6–13 jours,https://www.aliexpress.com/item/1005009404700712.html?skuId=12000048996914221,"0 vente déclarée ; coupe, broderie et tableau de tailles à confirmer ; champ 107 cm ambigu, non interprété"
Corset underbust noir,1005007308979912,12000040189579875,18.89,1.99,20.88,16,4–8 jours,https://www.aliexpress.com/item/1005007308979912.html?skuId=12000040189579875,18 baleines acier déclarées
Corset overbust noir,1005011724345711,12000056361525782,18.29,1.99,20.28,11,6–10 jours,https://www.aliexpress.com/item/1005011724345711.html?skuId=12000056361525782,Coupe et tailles distinctes du underbust
Corset underbust alternatif,1005007463741144,12000040858765475,12.19,9.26,21.45,989,6–13 jours,https://www.aliexpress.com/item/1005007463741144.html?skuId=12000040858765475,4 ventes ; acier déclaré ; photo et qualité non validées physiquement
Coffret 10 montres,32839469711,12000032606672986,35.09,5.35,40.44,39857,6–13 jours,https://www.aliexpress.com/item/32839469711.html?skuId=12000032606672986,"Style 2 ; finition bois, couvercle opaque ; pas de promesse bois massif"
Remontoir double,1005008107024816,12000043796914430,33.49,0,33.49,9957,6–13 jours,https://www.aliexpress.com/item/1005008107024816.html?skuId=12000043796914430,2 coussins visibles dans étude initiale ; inclusion câble et adaptateur non établie
Remontoir 3 emplacements alternatif,1005008970862209,12000047413849598,26.69,1.99,28.68,1,6–10 jours,https://www.aliexpress.com/item/1005008970862209.html?skuId=12000047413849598,Format différent ; stock 1 : pas une seconde source équivalente du double
TX-850 adulte,1005006994695803,12000038984545060,82.39,1.99,84.38,5,4–8 jours,https://www.aliexpress.com/item/1005006994695803.html?skuId=12000038984545060,Pile 9V non incluse ; seule bobine annoncée étanche
TX-850 alternatif,1005006003820202,12000035270477888,100.19,1.99,102.18,4,4–8 jours,https://www.aliexpress.com/item/1005006003820202.html?skuId=12000035270477888,"464 ventes déclarées ; plus cher ; ne pas reprendre profondeur marketing 2,5m"
Échecs pliants bois 39 cm,1005008086495961,12000043641691985,35.19,1.99,37.18,10,4–8 jours,https://www.aliexpress.com/item/1005008086495961.html?skuId=12000043641691985,"Essence bois, magnétisme et nombre exact de pièces non établis"
Échecs 39 cm 3-en-1 alternatif,1005009215859784,12000048343840400,32.79,6.93,39.72,997,6–13 jours,https://www.aliexpress.com/item/1005009215859784.html?skuId=12000048343840400,12 ventes ; 32 pièces et magnétisme déclarés ; format différent
