Campaign,Campaign status,Ad Group,Ad Group status,Keyword,Criterion Type,Status
UK | Search | Abayas ouvertes brodées,Paused,abaya-noire | COEUR,Paused,open abaya,Exact,Paused
UK | Search | Abayas ouvertes brodées,Paused,abaya-noire | COEUR,Paused,embroidered abaya,Exact,Paused
UK | Search | Abayas ouvertes brodées,Paused,abaya-noire | COEUR,Paused,embellished abaya,Exact,Paused
UK | Search | Abayas ouvertes brodées,Paused,abaya-noire | EXPLORATION,Paused,abaya online,Exact,Paused
UK | Search | Abayas ouvertes brodées,Paused,abaya-noire | EXPLORATION,Paused,abaya,Exact,Paused
UK | Search | Corsets noirs structurés,Paused,corset-underbust | COEUR,Paused,underbust corset,Exact,Paused
UK | Search | Corsets noirs structurés,Paused,corset-underbust | COEUR,Paused,black underbust corset,Exact,Paused
UK | Search | Corsets noirs structurés,Paused,corsets-noirs | COEUR,Paused,steel boned corset,Exact,Paused
UK | Search | Corsets noirs structurés,Paused,corset-overbust | COEUR,Paused,overbust corset,Exact,Paused
UK | Search | Corsets noirs structurés,Paused,corsets-noirs | COEUR,Paused,black satin corset,Exact,Paused
UK | Search | Corsets noirs structurés,Paused,corsets-noirs | EXPLORATION,Paused,corset,Exact,Paused
UK | Search | Coffrets et remontoirs de montres,Paused,coffret-10 | COEUR,Paused,watch storage box,Exact,Paused
UK | Search | Coffrets et remontoirs de montres,Paused,coffret-10 | COEUR,Paused,wooden watch box,Exact,Paused
UK | Search | Coffrets et remontoirs de montres,Paused,coffret-10 | COEUR,Paused,10 slot watch box,Exact,Paused
UK | Search | Coffrets et remontoirs de montres,Paused,coffret-10 | EXPLORATION,Paused,watch box,Exact,Paused
UK | Search | Coffrets et remontoirs de montres,Paused,remontoir-double | COEUR,Paused,double watch winder,Exact,Paused
UK | Search | Coffrets et remontoirs de montres,Paused,remontoir-double | COEUR,Paused,watch winder for 2 watches,Exact,Paused
UK | Search | Coffrets et remontoirs de montres,Paused,remontoir-double | COEUR,Paused,automatic watch winder,Exact,Paused
UK | Search | Coffrets et remontoirs de montres,Paused,remontoir-double | EXPLORATION,Paused,watch winder,Exact,Paused
UK | Search | Détecteur adulte TX-850,Paused,tx-850 | COEUR,Paused,metal detector for beginners,Exact,Paused
UK | Search | Détecteur adulte TX-850,Paused,tx-850 | COEUR,Paused,metal detector for adults,Exact,Paused
UK | Search | Détecteur adulte TX-850,Paused,tx-850 | COEUR,Paused,buy metal detector,Exact,Paused
UK | Search | Détecteur adulte TX-850,Paused,tx-850 | COEUR,Paused,metal detectors for sale,Exact,Paused
UK | Search | Détecteur adulte TX-850,Paused,tx-850 | EXPLORATION,Paused,metal detector,Exact,Paused
UK | Search | Jeu d’échecs pliant en bois,Paused,echecs-39cm | COEUR,Paused,wooden chess set,Exact,Paused
UK | Search | Jeu d’échecs pliant en bois,Paused,echecs-39cm | COEUR,Paused,folding chess set,Exact,Paused
UK | Search | Jeu d’échecs pliant en bois,Paused,echecs-39cm | COEUR,Paused,portable chess set,Exact,Paused
UK | Search | Jeu d’échecs pliant en bois,Paused,echecs-39cm | COEUR,Paused,chess set for adults,Exact,Paused
UK | Search | Jeu d’échecs pliant en bois,Paused,echecs-39cm | EXPLORATION,Paused,chess set,Exact,Paused
