source_basis,status,price_ttc,base_cost,extra_cost_budget_unquoted,total_cost_scenario,contribution_before_ads,cpc_scenario,break_even_cvr,contribution_at_cvr_2pct,note
Capture: 30deg + support simple,HYPOTHESE,69,41.98,0,41.98,10.39,0.8,0.076997,-29.61,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,69,41.98,0,41.98,10.39,1.2,0.115496,-49.61,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,99,41.98,0,41.98,33.29,0.8,0.024031,-6.71,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,99,41.98,0,41.98,33.29,1.2,0.036047,-26.71,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,119,41.98,0,41.98,48.5567,0.8,0.016476,8.5567,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,119,41.98,0,41.98,48.5567,1.2,0.024713,-11.4433,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,69,41.98,5,46.98,5.39,0.8,0.148423,-34.61,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,69,41.98,5,46.98,5.39,1.2,0.222635,-54.61,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,99,41.98,5,46.98,28.29,0.8,0.028279,-11.71,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,99,41.98,5,46.98,28.29,1.2,0.042418,-31.71,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
